id;response_id;question_id;choice_id
208;70;4;11
209;70;5;15
210;70;6;25
211;71;4;10
212;71;5;14
213;71;6;23
214;72;4;10
215;72;5;14
216;72;6;22
217;73;4;11
218;73;5;15
219;73;6;23
220;74;4;12
221;74;5;14
222;74;6;19
223;75;4;11
224;75;5;14
225;75;6;23
226;76;4;9
227;76;5;14
228;76;6;21
229;77;4;9
230;77;5;14
231;77;6;21
232;78;4;11
233;78;5;14
234;78;6;23
235;79;4;12
236;79;5;15
237;79;6;22
238;80;4;12
239;80;5;15
240;80;6;23
241;81;4;13
242;81;5;15
243;81;6;27
244;82;4;13
245;82;5;15
246;82;6;27
247;83;4;11
248;83;5;14
249;83;6;28
250;84;4;11
251;84;5;14
252;84;6;21
253;85;4;12
254;85;5;14
255;85;6;23
256;86;4;8
257;86;5;14
258;86;6;20
259;87;4;12
260;87;5;14
261;87;6;25
262;88;4;11
263;88;5;15
264;88;6;25
265;89;4;11
266;89;5;14
267;89;6;24
268;90;4;9
269;90;5;15
270;90;6;21
271;91;4;12
272;91;5;14
273;91;6;23
274;92;4;12
275;92;5;14
276;92;6;21
277;93;4;12
278;93;5;14
279;93;6;20
280;94;4;10
281;94;5;15
282;94;6;20
283;95;4;10
284;95;5;15
285;95;6;20
286;96;4;11
287;96;5;14
288;96;6;28
289;97;4;10
290;97;5;14
291;97;6;21
292;98;4;10
293;98;5;14
294;98;6;22
295;99;4;10
296;99;5;15
297;99;6;24
298;100;4;12
299;100;5;15
300;100;6;21
301;101;4;11
302;101;5;14
303;101;6;20
304;102;4;10
305;102;5;15
306;102;6;20
307;103;4;11
308;103;5;15
309;103;6;24
310;104;4;13
311;104;5;15
312;104;6;23
313;105;4;11
314;105;5;14
315;105;6;25
316;106;4;11
317;106;5;14
318;106;6;20
319;107;4;12
320;107;5;14
321;107;6;20
322;108;4;11
323;108;5;14
324;108;6;25
325;109;4;11
326;109;5;15
327;109;6;23
328;110;4;12
329;110;5;15
330;110;6;22
331;111;4;11
332;111;5;14
333;111;6;21
334;112;4;10
335;112;5;15
336;112;6;24
337;113;4;12
338;113;5;14
339;113;6;23
340;114;4;13
341;114;5;14
342;114;6;20
343;115;4;12
344;115;5;14
345;115;6;22
346;116;4;10
347;116;5;16
348;116;6;23
349;117;4;10
350;117;5;15
351;117;6;27
352;118;4;10
353;118;5;15
354;118;6;25
355;119;4;12
356;119;5;14
357;119;6;22
358;120;4;13
359;120;5;15
360;120;6;25
361;121;4;13
362;121;5;15
363;121;6;25
364;122;4;13
365;122;5;14
366;122;6;21
367;123;4;10
368;123;5;15
369;123;6;21
370;124;4;10
371;124;5;15
372;124;6;25
373;125;4;11
374;125;5;15
375;125;6;25
376;126;4;11
377;126;5;14
378;126;6;20
379;127;4;9
380;127;5;15
381;127;6;20
382;128;4;12
383;128;5;14
384;128;6;25
385;129;4;11
386;129;5;14
387;129;6;28
388;130;4;12
389;130;5;15
390;130;6;26
391;131;4;12
392;131;5;14
393;131;6;20
394;132;4;12
395;132;5;14
396;132;6;22
397;133;4;12
398;133;5;15
399;133;6;25
400;134;4;8
401;134;5;14
402;134;6;20
403;135;4;12
404;135;5;15
405;135;6;21
406;136;4;13
407;136;5;15
408;136;6;25
409;137;4;11
410;137;5;15
411;137;6;20
412;138;4;12
413;138;5;15
414;138;6;25
415;139;4;10
416;139;5;15
417;139;6;23
418;140;4;12
419;140;5;14
420;140;6;23
421;141;4;9
422;141;5;14
423;141;6;24
424;142;4;9
425;142;5;14
426;142;6;24
427;143;4;9
428;143;5;15
429;143;6;23
430;144;4;11
431;144;5;14
432;144;6;23
433;145;4;11
434;145;5;14
435;145;6;23
436;146;4;12
437;146;5;14
438;146;6;25
439;147;4;10
440;147;5;15
441;147;6;25
442;148;4;12
443;148;5;14
444;148;6;21
445;149;4;9
446;149;5;14
447;149;6;23
448;150;4;11
449;150;5;14
450;150;6;26
451;151;4;10
452;151;5;14
453;151;6;24
454;152;4;12
455;152;5;15
456;152;6;26
457;153;4;11
458;153;5;14
459;153;6;25
460;154;4;10
461;154;5;14
462;154;6;26
463;155;4;11
464;155;5;15
465;155;6;27
466;156;4;13
467;156;5;14
468;156;6;20
469;157;4;12
470;157;5;14
471;157;6;23
472;158;4;11
473;158;5;15
474;158;6;25
475;159;4;12
476;159;5;14
477;159;6;27
478;160;4;12
479;160;5;15
480;160;6;24
481;161;4;11
482;161;5;14
483;161;6;21
484;162;4;11
485;162;5;14
486;162;6;28
487;163;4;11
488;163;5;15
489;163;6;21
490;164;4;8
491;164;5;14
492;164;6;20
493;165;4;13
494;165;5;15
495;165;6;27
496;166;4;13
497;166;5;15
498;166;6;24
499;167;4;10
500;167;5;14
501;167;6;27
502;168;4;9
503;168;5;14
504;168;6;24
505;169;4;9
506;169;5;14
507;169;6;21
508;170;4;12
509;170;5;14
510;170;6;22
511;171;4;10
512;171;5;14
513;171;6;21
514;172;4;12
515;172;5;14
516;172;6;22
517;173;4;11
518;173;5;14
519;173;6;20
520;174;4;11
521;174;5;15
522;174;6;28
523;175;4;8
524;175;5;14
525;175;6;20
526;176;4;12
527;176;5;14
528;176;6;21
529;177;4;12
530;177;5;14
531;177;6;21
532;178;4;12
533;178;5;14
534;178;6;28
535;179;4;11
536;179;5;14
537;179;6;21
538;180;4;9
539;180;5;14
540;180;6;20
541;181;4;11
542;181;5;15
543;181;6;27
544;182;4;8
545;182;5;14
546;182;6;20
